config,M,b,scenario_type,parameter,tv_distance,mean_cr,std_cr,p95_cr,p99_cr,failure_rate,severe_fail,t_star,t_star_optimal,threshold_error,avg_cost,baseline_cost,regret,pct_cost_increase
High Uncertainty (σ/μ≈0.42),500,16,Poor Model,0.6,0.347264816080589,7.61859375,2.9802131087983157,12.625,14.625,0.9827,0.9726,470,253,217,121.8346,121.8313,0.003299999999995862,0.0027086635371992764
High Uncertainty (σ/μ≈0.42),500,16,Poor Model,0.8,0.46301975477411866,7.61859375,2.9802131087983157,12.625,14.625,0.9827,0.9726,470,253,217,121.8346,121.8313,0.003299999999995862,0.0027086635371992764
Medium Uncertainty (σ/μ≈0.33),300,12,Mean Error,-0.5,0.5315476245116718,7.254916666666667,2.1168839262594736,9.5,9.5,0.9923,0.9849,103,148,-45,87.0425,89.9558,-2.9132999999999925,-3.238590507782703
Medium Uncertainty (σ/μ≈0.33),300,12,Mean Error,-0.3,0.3421073363244973,7.4415,2.383838854754073,11.0,11.0,0.9923,0.9849,121,148,-27,89.2815,89.9558,-0.6743000000000023,-0.7495903543740396
Medium Uncertainty (σ/μ≈0.33),300,12,Mean Error,-0.1,0.11842917296950967,7.491541666666667,2.4874712420724503,12.5,12.5,0.9923,0.9849,139,148,-9,89.882,89.9558,-0.07379999999999143,-0.08204029089840947
Medium Uncertainty (σ/μ≈0.33),300,12,Mean Error,0.1,0.11889947288789499,7.4965833333333345,2.505796525660392,11.666666666666666,14.0,0.9923,0.9849,157,148,9,89.9425,89.9558,-0.013300000000000978,-0.014785038874648415
Medium Uncertainty (σ/μ≈0.33),300,12,Mean Error,0.3,0.3468735564489865,7.4969,2.508642339056167,11.666666666666666,13.25,0.9923,0.9849,175,148,27,89.9463,89.9558,-0.009500000000002728,-0.010560742053322553
Medium Uncertainty (σ/μ≈0.33),300,12,Mean Error,0.5,0.5464456558609536,7.496225,2.506866047789072,11.666666666666666,13.25,0.9923,0.9849,193,148,45,89.9382,89.9558,-0.017600000000001614,-0.01956516422509901
Medium Uncertainty (σ/μ≈0.33),300,12,Variance Error,0.3,0.5213386600879211,6.681683333333333,1.5714870209034209,7.75,7.75,0.9923,0.9849,82,148,-66,80.1637,89.9558,-9.79209999999999,-10.885457080032628
Medium Uncertainty (σ/μ≈0.33),300,12,Variance Error,0.5,0.3220042761854811,7.0123083333333325,1.8561218070578527,8.583333333333334,8.583333333333334,0.9923,0.9849,92,148,-56,84.1312,89.9558,-5.82459999999999,-6.474957701448922
Medium Uncertainty (σ/μ≈0.33),300,12,Variance Error,0.7,0.16996841564642243,7.351941666666666,2.244064320270036,10.083333333333334,10.083333333333334,0.9923,0.9849,110,148,-38,88.2068,89.9558,-1.7489999999999952,-1.9442881948690305
Medium Uncertainty (σ/μ≈0.33),300,12,Variance Error,1.5,0.18097416977891262,7.495991666666666,2.5060147367716428,11.666666666666666,13.25,0.9923,0.9849,242,148,94,89.9354,89.9558,-0.02039999999999509,-0.022677803988175402
Medium Uncertainty (σ/μ≈0.33),300,12,Variance Error,2.5,0.3580221934675232,7.495991666666666,2.5060147367716428,11.666666666666666,13.25,0.9923,0.9849,274,148,126,89.9354,89.9558,-0.02039999999999509,-0.022677803988175402
Medium Uncertainty (σ/μ≈0.33),300,12,Variance Error,4.0,0.46853654446266074,7.495991666666666,2.5060147367716428,11.666666666666666,13.25,0.9923,0.9849,277,148,129,89.9354,89.9558,-0.02039999999999509,-0.022677803988175402
Medium Uncertainty (σ/μ≈0.33),300,12,Poor Model,0.2,0.11447170851652837,7.495991666666666,2.5060147367716428,11.666666666666666,13.25,0.9923,0.9849,278,148,130,89.9354,89.9558,-0.02039999999999509,-0.022677803988175402
Medium Uncertainty (σ/μ≈0.33),300,12,Poor Model,0.4,0.22894341703305676,7.495991666666666,2.5060147367716428,11.666666666666666,13.25,0.9923,0.9849,278,148,130,89.9354,89.9558,-0.02039999999999509,-0.022677803988175402
Medium Uncertainty (σ/μ≈0.33),300,12,Poor Model,0.6,0.3434151255495851,7.495991666666666,2.5060147367716428,11.666666666666666,13.25,0.9923,0.9849,278,148,130,89.9354,89.9558,-0.02039999999999509,-0.022677803988175402
Medium Uncertainty (σ/μ≈0.33),300,12,Poor Model,0.8,0.4578868340661135,7.495991666666666,2.5060147367716428,11.666666666666666,13.25,0.9923,0.9849,278,148,130,89.9354,89.9558,-0.02039999999999509,-0.022677803988175402
Low Uncertainty (σ/μ≈0.31),200,9,Mean Error,-0.5,0.5722534270580772,6.802055555555556,1.6225299625842817,8.11111111111111,8.11111111111111,0.9965,0.9909,65,98,-33,61.2149,65.1611,-3.9462000000000046,-6.0560671934635915
Low Uncertainty (σ/μ≈0.31),200,9,Mean Error,-0.3,0.3707188705090395,7.118744444444445,1.993263229308064,9.555555555555555,9.555555555555555,0.9965,0.9909,78,98,-20,64.0651,65.1611,-1.0960000000000036,-1.6819851107485964
Low Uncertainty (σ/μ≈0.31),200,9,Mean Error,-0.1,0.12862729448077426,7.227077777777778,2.1810732511070428,11.0,11.0,0.9965,0.9909,91,98,-7,65.0401,65.1611,-0.12100000000000932,-0.18569361167937515
Low Uncertainty (σ/μ≈0.31),200,9,Mean Error,0.1,0.1289278365192098,7.242577777777778,2.2262901221273697,11.0,12.444444444444445,0.9965,0.9909,104,98,6,65.1796,65.1611,0.01849999999998886,0.028391172033604185
Low Uncertainty (σ/μ≈0.31),200,9,Mean Error,0.3,0.3739143670774694,7.241422222222222,2.227680898180807,11.0,12.444444444444445,0.9965,0.9909,117,98,19,65.1692,65.1611,0.008099999999998886,0.012430729376881123
Low Uncertainty (σ/μ≈0.31),200,9,Mean Error,0.5,0.5833789693114331,7.240522222222222,2.2257264042704943,11.0,12.444444444444445,0.9965,0.9909,130,98,32,65.1611,65.1611,0.0,0.0
Low Uncertainty (σ/μ≈0.31),200,9,Variance Error,0.3,0.5215938918101936,6.528233333333333,1.389964394242608,7.444444444444445,7.444444444444445,0.9965,0.9909,59,98,-39,58.7505,65.1611,-6.410600000000002,-9.838078239931495
Low Uncertainty (σ/μ≈0.31),200,9,Variance Error,0.5,0.32248060249813326,6.802055555555556,1.6225299625842817,8.11111111111111,8.11111111111111,0.9965,0.9909,65,98,-33,61.2149,65.1611,-3.9462000000000046,-6.0560671934635915
Low Uncertainty (σ/μ≈0.31),200,9,Variance Error,0.7,0.17048346319642052,7.069077777777778,1.9239259347256865,9.222222222222221,9.222222222222221,0.9965,0.9909,75,98,-23,63.6181,65.1611,-1.5430000000000064,-2.367977213398801
Low Uncertainty (σ/μ≈0.31),200,9,Variance Error,1.5,0.18486055900303192,7.240111111111111,2.2242811382926373,11.0,12.444444444444445,0.9965,0.9909,155,98,57,65.1574,65.1611,-0.0037000000000091404,-0.005678234406738284
Low Uncertainty (σ/μ≈0.31),200,9,Variance Error,2.5,0.3663652499604529,7.240111111111111,2.2242811382926373,11.0,12.444444444444445,0.9965,0.9909,181,98,83,65.1574,65.1611,-0.0037000000000091404,-0.005678234406738284
Low Uncertainty (σ/μ≈0.31),200,9,Variance Error,4.0,0.47458484051346717,7.240111111111111,2.2242811382926373,11.0,12.444444444444445,0.9965,0.9909,183,98,85,65.1574,65.1611,-0.0037000000000091404,-0.005678234406738284
Low Uncertainty (σ/μ≈0.31),200,9,Poor Model,0.2,0.11433408218395018,7.240111111111111,2.2242811382926373,11.0,12.444444444444445,0.9965,0.9909,184,98,86,65.1574,65.1611,-0.0037000000000091404,-0.005678234406738284
Low Uncertainty (σ/μ≈0.31),200,9,Poor Model,0.4,0.22866816436790038,7.240111111111111,2.2242811382926373,11.0,12.444444444444445,0.9965,0.9909,184,98,86,65.1574,65.1611,-0.0037000000000091404,-0.005678234406738284
Low Uncertainty (σ/μ≈0.31),200,9,Poor Model,0.6,0.3430022465518506,7.240111111111111,2.2242811382926373,11.0,12.444444444444445,0.9965,0.9909,184,98,86,65.1574,65.1611,-0.0037000000000091404,-0.005678234406738284
Low Uncertainty (σ/μ≈0.31),200,9,Poor Model,0.8,0.4573363287358008,7.240111111111111,2.2242811382926373,11.0,12.444444444444445,0.9965,0.9909,184,98,86,65.1574,65.1611,-0.0037000000000091404,-0.005678234406738284
