scenario_type,parameter,tv_distance,mean_cr,median_cr,std_cr,percentile_95,percentile_99,max_cr,failure_rate,expected_regret,t_star,se
Uniform Mixture,0.0,7.663747631301103e-17,1.6868400000000001,1.6666666666666667,0.459582349523564,2.5,2.8333333333333335,3.7666666666666666,0.2395,20.6052,172,0.0045958234952356404
Uniform Mixture,0.05,0.03293739274912827,1.6855066666666665,1.6666666666666667,0.45972089341370515,2.5,2.8333333333333335,3.9,0.2374,20.5652,201,0.004597208934137052
Uniform Mixture,0.1,0.06587478549825648,1.6845766666666666,1.6666666666666667,0.4601536765479594,2.5,2.8333333333333335,3.8666666666666667,0.2382,20.5373,201,0.0046015367654795945
Uniform Mixture,0.15000000000000002,0.09881217824738475,1.6892733333333334,1.6666666666666667,0.4595626575164896,2.5,2.8,3.7333333333333334,0.2443,20.6782,201,0.004595626575164896
Uniform Mixture,0.2,0.13174957099651297,1.681366666666667,1.6666666666666667,0.4574744127094196,2.5,2.8333333333333335,3.6333333333333333,0.2276,20.441,201,0.004574744127094196
Uniform Mixture,0.25,0.16468696374564123,1.6863933333333334,1.6666666666666667,0.4665913825425169,2.5,2.8666666666666667,3.6,0.2417,20.5918,201,0.004665913825425169
Uniform Mixture,0.30000000000000004,0.1976243564947695,1.689863333333333,1.6666666666666667,0.46190285783978824,2.466666666666667,2.8333333333333335,3.6666666666666665,0.2437,20.6959,201,0.004619028578397882
Uniform Mixture,0.35000000000000003,0.2305617492438978,1.68754,1.6666666666666667,0.46348823247767107,2.466666666666667,2.8666666666666667,3.6333333333333333,0.2453,20.6262,201,0.004634882324776711
Uniform Mixture,0.4,0.263499141993026,1.67785,1.6333333333333333,0.4554555830654414,2.466666666666667,2.8,3.5,0.2317,20.3355,201,0.004554555830654414
Uniform Mixture,0.45,0.2964365347421542,1.6927766666666666,1.6666666666666667,0.46032526187855605,2.5,2.8333333333333335,3.5,0.2462,20.7833,201,0.0046032526187855605
Uniform Mixture,0.5,0.32937392749128247,1.6847966666666667,1.6666666666666667,0.4589103357987959,2.5,2.8333333333333335,3.4,0.2403,20.5439,201,0.004589103357987959
